song names
"Jaada - From ""Aavesham"" - Sushin Shyam"
Selfish - Justin Timberlake
This Could Be Us - Rae Sremmurd
"Katchi Sera - From ""Think Indie"" - Sai Abhyankkar"
Olam Up - Dabzee
Runaway - Kanye West
MONACO - Bad Bunny
Welcome To New York (Taylor's Version) - Taylor Swift
My Boo - USHER
Choose Your Fighter - Ava Max
Down / Desi Girl - Penn Masala
Thousand Miles - The Kid LAROI
Working For The Weekend (feat. bbno$) - MAX
O Bedardeya - Pritam
Hridhayavum - Vineeth Sreenivasan
Tití Me Preguntó - Bad Bunny
Die For You - The Weeknd
Like 1999 - Valley
I Don’t Think That I Like Her - Charlie Puth
Worship - MAX
Star - Bazzi
SOS - MAX
Blueberry Faygo - Lil Mosey
Strawberry Skies - Kid Travis
summer&cigarettes - sammy rash
Happier Than Ever - Billie Eilish
Rhythm & Vibes - Tobi & Manny
Jail - Kanye West
At My Worst - Pink Sweat$
Always - Rex Orange County
Issues - Julia Michaels
Heather - Conan Gray
Kamini - K. S. Harisankar
Neun La Leya - Kaavish
Khulke Jeene Ka - A.R. Rahman
Beautiful People (feat. Khalid) - Ed Sheeran
Kandu Kandu - Sujatha
Kaun Mera - Papon
Internet - Post Malone
I'm Gonna Be - Post Malone
Staring At The Sun (feat. SZA) - Post Malone
On The Road (feat. Meek Mill & Lil Baby) - Post Malone
Allergic - Post Malone
Ymca - Village People
Breakeven - The Script
Hollywood's Bleeding - Post Malone
A Thousand Bad Times - Post Malone
Die For Me (feat. Future & Halsey) - Post Malone
Take Me Back to London (feat. Stormzy) - Ed Sheeran
Circles - Post Malone
Enemies (feat. DaBaby) - Post Malone
"Kinna Sona (From ""Marjaavaan"") - Meet Bros."
Stand By Me - Ben E. King
Ali Maula - MTV Unplugged Version - Salim–Sulaiman
Feels (feat. Young Thug & J Hus) - Ed Sheeran
South of the Border (feat. Camila Cabello & Cardi B) - Ed Sheeran
Hide (feat. Seezyn) - Juice WRLD
Paranoid - Post Malone
"Kurumba (From ""Tik Tik Tik"") - Father's Love - D. Imman"
Manassin Madiyile (K.S. Chithra) - K. S. Chithra
I Know - Post Malone
Myself - Post Malone
Saint-Tropez - Post Malone
Take What You Want (feat. Ozzy Osbourne & Travis Scott) - Post Malone
Circles - Post Malone
Congratulations - Post Malone
rockstar - Post Malone
Panini - Lil Nas X
lovely (with Khalid) - Billie Eilish
"Kya Karoon? (From ""Wake Up Sid "") - Shankar-Ehsaan-Loy"
"This Is Me (The Reimagined Remix) [with Keala Settle, Kesha & Missy Elliott] - Keala Settle"
Never Enough - Kelly Clarkson
Psycho (feat. Ty Dolla $ign) - Post Malone
Jackie Chan - Tiësto
Better Now - Post Malone
The Greatest Show - Hugh Jackman
A Million Dreams - Ziv Zaifman
A Million Dreams (Reprise) - Austyn Johnson
Come Alive - Hugh Jackman
